Poales_Cyperaceae_Coleochloa_abyssinica	Poales_Cyperaceae_Cyperus_rotundus	143	47
Poales_Juncaceae_Juncus_gerardi	Poales_Juncaceae_Patosia_clandestina	158	27.82
Poales_Poaceae_Parianella_lanceolata	Poales_Poaceae_Oryza_sativa	144	66
Poales_Poaceae_Rhynchoryza_subulata	Poales_Poaceae_Ehrharta_erecta	145	30.44
Poales_Poaceae_Dendrocalamus_sinicus	Poales_Poaceae_Lygeum_spartum	146	34.07
Poales_Restionaceae_Anarthria_prolifera	Poales_Poaceae_Streptochaeta_spicata	147	27.7
Poales_Typhaceae_Sparganium_gramineum	Poales_Typhaceae_Typha_davidiana	148	51.66
Zingiberales_Musaceae_Musa_acuminata	Zingiberales_Zingiberaceae_Zingiber_officinale	149	72.1
Zingiberales_Zingiberaceae_Zingiber_officinale	Zingiberales_Costaceae_Dimerocostus_argenteus	159	66
Ranunculales_Menispermaceae_Sarcopetalum_harveyanum	Chloranthales_Chloranthaceae_Hedyosmum_arborescens	12	125
Buxales_Buxaceae_Pachysandra_terminalis	Buxales_Buxaceae_Didymeles_perrieri	185	66
Buxales_Buxaceae_Pachysandra_terminalis	Trochodendrales_Trochodendraceae_Trochodendron_aralioides	184	110.8
Proteales_Nelumbonaceae_Nelumbo_sp.	Proteales_Proteaceae_Hakea_prostrata	186	100.5
Proteales_Proteaceae_Hakea_prostrata	Proteales_Platanaceae_Platanus_occidentalis	188	107.7
Proteales_Proteaceae_Bellendena_montana	Proteales_Proteaceae_Hakea_drupacea	189	72.1
Proteales_Sabiaceae_Meliosma_cuneifolia	Proteales_Sabiaceae_Sabia_pauciflora	196	89.8
Ranunculales_Ranunculaceae_Pulsatilla_vulgaris	Proteales_Sabiaceae_Sabia_pauciflora	194	110.8
Ranunculales_Lardizabalaceae_Akebia_trifoliata	Ranunculales_Circaeasteraceae_Circaeaster_agrestis	190	41.2
Ranunculales_Berberidaceae_Berberis_sibirica	Ranunculales_Menispermaceae_Echinostephia_aculeata	192	89.8
Ranunculales_Menispermaceae_Cissampelos_mucronata	Ranunculales_Menispermaceae_Cyclea_peltata	191	60
Ranunculales_Ranunculaceae_Coptis_sp.	Ranunculales_Ranunculaceae_Pulsatilla_chinensis	193	56
Trochodendrales_Trochodendraceae_Trochodendron_aralioides	Buxales_Buxaceae_Didymeles_perrieri	197	66
Gunnerales_Gunneraceae_Gunnera_manicata	Caryophyllales_Tamaricaceae_Tamarix_chinensis	325	100.5
Dilleniales_Dilleniaceae_Curatella_americana	Dilleniales_Dilleniaceae_Dillenia_indica	262	47.8
Saxifragales_Cercidiphyllaceae_Cercidiphyllum_japonicum	Saxifragales_Altingiaceae_Liquidambar_formosana	198	56
Saxifragales_Haloragaceae_Gonocarpus_elatus	Saxifragales_Penthoraceae_Penthorum_chinense	200	72.1
Saxifragales_Hamamelidaceae_Distylium_buxifolium	Saxifragales_Hamamelidaceae_Exbucklandia_populnea	201	83.6
Saxifragales_Iteaceae_Itea_chinensis	Saxifragales_Saxifragaceae_Saxifraga_fortunei	199	48
Crossosomatales_Staphyleaceae_Staphylea_trifolia	Crossosomatales_Crossosomataceae_Crossosoma_californicum	345	27.82
Geraniales_Francoaceae_Viviania_marifolia	Geraniales_Geraniaceae_Erodium_chrysanthum	241	15.97
Myrtales_Combretaceae_Strephonema_mannii	Myrtales_Myrtaceae_Kunzea_sp.	248	86.3
Myrtales_Lythraceae_Pleurophora_anomala	Myrtales_Lythraceae_Sonneratia_caseolaris	249	72.1
Myrtales_Melastomataceae_Pternandra_azurea	Myrtales_Penaeaceae_Penaea_fucata	250	56
Myrtales_Myrtaceae_Astus_tetragonus	Myrtales_Vochysiaceae_Qualea_grandiflora	253	83.6
Myrtales_Myrtaceae_Myrcia_splendens	Myrtales_Myrtaceae_Purpureostemon_ciliatus	251	44.3
Myrtales_Myrtaceae_Myrcia_splendens	Myrtales_Myrtaceae_Purpureostemon_ciliatus	252	56
Vitales_Vitaceae_Leea_guineensis	Vitales_Vitaceae_Ampelocissus_africana	344	56
Vitales_Vitaceae_Leea_guineensis	Vitales_Vitaceae_Ampelocissus_africana	202	61.6
Brassicales_Tropaeolaceae_Tropaeolum_peregrinum	Malvales_Thymelaeaceae_Phaleria_capitata	239	86.3
Brassicales_Akaniaceae_Akania_bidwillii	Brassicales_Akaniaceae_Bretschneidera_sinensis	238	61.6
Huerteales_Tapisciaceae_Tapiscia_sinensis	Huerteales_Dipentodontaceae_Perrottetia_longistylis	242	41.2
Malvales_Bixaceae_Bixa_orellana	Malvales_Bixaceae_Cochlospermum_intermedium	243	15.97
Malvales_Dipterocarpaceae_Monotes_glaber	Malvales_Dipterocarpaceae_Shorea_kunstleri	245	56
